pop_rank,city,state,pop_estimate,census,pop_delta,pop_density__mi,pop_density__km2,land_area__mi,land_area__km2,latitude,longitude,location
192,Thornton, Colorado,136978,118772,0.1533,35.7,92.5,3829,1478,39.9194,-104.9428,Thornton Colorado
193,Waco, Texas,136436,124805,0.0932,89.0,230.5,1510,580,31.5601,-97.1860,Waco Texas
194,Murfreesboro, Tennessee,136372,108755,0.2539,55.9,144.8,2360,910,35.8522,-86.4160,Murfreesboro Tennessee
195,Denton, Texas,136268,113383,0.2018,93.4,241.9,1433,553,33.2166,-97.1414,Denton Texas
196,West Valley City, Utah,136170,129480,0.051699999999999996,35.5,91.9,3847,1485,40.6885,-112.0118,West Valley City Utah
197,Midland, Texas,136089,111147,0.22440000000000002,74.4,192.7,1809,698,32.0246,-102.1135,Midland Texas
198,Carrollton, Texas,135710,119097,0.13949999999999999,36.3,94.0,3674,1419,32.9884,-96.8998,Carrollton Texas
199,Roseville, California,135329,118788,0.1392,43.0,111.4,3085,1191,38.7690,-121.3189,Roseville California
200,Warren, Michigan,135022,134056,0.0072,34.4,89.1,3928,1517,42.4929,-83.0250,Warren Michigan
201,Charleston, South Carolina,134875,120083,0.1232,109.0,282.3,1233,476,32.8179,-79.9590,Charleston South Carolina
202,Hampton, Virginia,134669,137436,,51.5,133.4,2629,1015,37.0480,-76.2971,Hampton Virginia
203,Surprise, Arizona,134085,117517,0.141,107.9,279.5,1230,470,33.6706,-112.4527,Surprise Arizona
204,Columbia, South Carolina,133114,129272,0.0297,133.5,345.8,1006,388,34.0291,-80.8980,Columbia South Carolina
205,Coral Springs, Florida,133037,121096,0.0986,23.8,61.6,5465,2110,26.2707,-80.2593,Coral Springs Florida
206,Visalia, California,133010,124442,0.0689,37.5,97.1,3495,1349,36.3273,-119.3289,Visalia California
207,Sterling Heights, Michigan,132631,129699,0.0226,36.5,94.5,3628,1401,42.5812,-83.0303,Sterling Heights Michigan
208,Gainesville, Florida,132249,124354,0.0635,62.3,161.4,2112,815,29.6788,-82.3461,Gainesville Florida
209,Cedar Rapids, Iowa,132228,126326,0.0467,70.8,183.4,1852,715,41.9670,-91.6778,Cedar Rapids Iowa
210,New Haven, Connecticut,131014,129779,0.0095,18.7,48.4,6948,2683,41.3108,-72.9250,New Haven Connecticut
211,Stamford, Connecticut,130824,122643,0.0667,37.6,97.4,3434,1326,41.0799,-73.5460,Stamford Connecticut
212,Elizabeth, New Jersey,130215,124969,0.042,12.3,31.9,10459,4038,40.6664,-74.1935,Elizabeth New Jersey
213,Concord, California,129783,122067,0.0632,30.5,79.0,4221,1630,37.9722,-122.0016,Concord California
